Count,Name of School,School Email ,School Number,Name of POC,Email,Phone Number 1,Phone Number 2
,"Billabong High International School, Andheri (W)",principal@bhisandheri.com,,,kerkar@bhisandheri.com,,
,"Billabong High International School, Hadapsar, Pune",info.hadapsar@billabonghighschool.com,,,,,
,"Bloomingdale International School, Pune",bis910@rediffmail.com,,,,,
,"Bombay Cambridge International School, Andheri East",info@bcseast.org,,,principal@bcseast.org,,
,"Bombay Cambridge International School, Andheri West",westbcs@bciswest.org,,,,,
,"Bombay Cambridge School, Andheri East",principal.bcse@rediffmail.com,,,,,
,Bombay Presidency International School,admin@bpismumbai.com,,,,,
,"Bombay Scottish School, Mahim",mahim.admin@bombayscottish.in,,,shreekant.albal@gmail.com,,
,"Bombay Scottish School, Powai",powai.principal@bombayscottish.in,,,,,
,"BREI's Blue Ridge Public School, Pune",sk.sayan@blueridge.in,,,,,
,Bunts Sangha's S.M.Shetty International High School,principalintschool@smshettyinstitute.org,,,intlschool@smshettyinstitute.org,,
,"Cambridge School, Kandivili",cambridgeschkandivli@gmail.com,,,,,
,Campion School,office@campionmumbai.org,,,principal@campionmumbai.org,,
,Cathedral & John Connon School,dean@cathedral-school.com,,,sr.advisor@cathedral-school.com,,
,Centre Point School Nagpur,cpswn@centrepointschools.com,,,,,
,Chatrabhuj Narsee School,accounts@cns.ac.in,,,,,
,Chatrabhuj Narsee School,manager.administration@cns.ac.in,,,,,
,Chatrabhuj Narsee School,principal@cns.ac.in,,,,,
,"Chatrabhuj Narsee School, Amanora, Pune",principal.amanora@cns.ac.in,,,,,
,"Children Public School (English Medium), Goregaon (W)",cps.e.2004@gmail.com,,,,,
,"Children's Academy, Ashok Nagar, Kandivali (E)",contactashok@children-academy.org,,,,,
,"Children's Academy, Malad (E)",rohan@children-academy.org,,,,,
,"Children's Academy, Thakur Complex, Kandivali (E)",contactasha@children-academy.org,,,,,
,"Chinmaya Vidyalaya, Boisar, Palghar",cvtarapur@rediffmail.com,,,,,
,"Christ Academy, Navi Mumbai",christacademykk@gmail.com,,,,,
,Christ Church School,ccs.principal@gmail.com,,,,,
,"City International School Pimpri, Pune",cisppimpri@gmail.com,,,,,
,"City International School Pimpri, Pune",cispp@rediffmail.com,,,,,
,"City International School, Aundh, Pune",aundh@cityinternationalschool.edu.in,,,,,
,"City International School, Mumbai",admin@cityinternationalschool.edu.in,,,,,
,"City International School, Mumbai",contact@cityinternationalschool.edu.in,,,,,
,"City International School, Satara Road, Pune",satararoad@cityinternationalschool.edu.in,,,,,
,"City International School, Wanowrie, Pune",wanowrie@cityinternationalschool.edu.in,,,,,
,"City Pride School, Ravet, Pune",info@cityprideschoolravet.org,,,,,
,Crescent English High School English High School,wasikhan478@gmail.com,,,,,
,"D.A.V. Public School, Nerul",davnerul@gmail.com,,,,,
,D.G. Khetan International School,accounts@dgkhetan.edu.in,,,,,
,D.G. Khetan International School,principal@dgkhetan.edu.in,,,,,
,D.G. Khetan International School,ceo@dgkhetan.edu.in,,,,,
,"D.Y. Patil International School, Nerul",principal@navi.dypis.edu.in,,,,,
,"D.Y. Patil International School, Nerul",hitesh.bhavsar@navi.dypis.edu.in,,,,,
,"D.Y. Patil International School, Worli",principal@dypisworli.in,,,,,
,"Daffodil International School, Pune",disbavdhan@gmail.com,,,,,
,"Daffodil International School, Pune",diswcollege@gmail.com,,,,,
,"Daffodil International School, Pune",diswcollege@yahoo.co.in,,,,,
,Daly College Indore,info@dalyschool.ac.in,,,,,
,Darshan Academy Pune,darshanacademy@gmail.com,,,,,
,Delhi Public School,vp@dpsmihan.edu.in,,,,,
,Delhi Public School,vp@dpsnagpur.edu.in,,,,,
,"Delhi Public School Kalyanpur, Kanpur",contactus@dpskalyanpur.com,,,,,
,"Delhi Public School, Airoli",dpsairolisecreteriat@fragdps.org,,,,,
,"Delhi Public School, Airoli",sec.dpsairolivashi@fragdps.org,,,,,
,"Delhi Public School, Aurangabad",info@dpsaurangabad.in,,,,,
,"Delhi Public School, Chhindwara",info@dpschhindwara.org,,,,,
,"Delhi Public School, Kharghar, Navi Mumbai",dpskharghar@outlook.com,,,,,
,"Delhi Public School, Nerul, Navi Mumbai",dpssec4@rediffmail.com,,,,,
,"Delhi Public School, Panvel",dpspanvel@gmail.com,,,,,
,"Delhi Public School, Pune",dpspuneschool@gmail.com,,,,,
,"Delhi Public School, Pune",pune@dpspune.com,,,,,
,"Delhi Public School, Raipur",principal.dpsraipur@gmail.com,,,,,
,"Delhi Public School, Sushant Lok, Gurgaon",info@dpssl.net,,,,,
,Dhaneshwar Vidya Dham,vibhorgarg1404@gmail.com,,,,,
,Diamond Jubilee High School,principal.diamondjubilee@akdn.org,,,,,
,"Don Bosco International School, Matunga",dbis@dbismumbai.org,,,,,
,"Don Bosco International School, Matunga",info@dbismumbai.org,,,,,
,"Don Bosco School of Excellence, Coimbatore",principal@dbsocl.org,,,,,
,Don Bosco Senior Secondary School,principal@donboscoindore.org,,,,,
,Don Bosco Senior Secondary School,admin@donboscoindore.org,,,,,
,DY Patil High School,info@dypsp.edu.in,,,,,
,"Edify School, Amravati",principal@edifyschoolamravati.com,,,,,
,"Edubridge International School, Grant Road",admissions@edubridgeschool.org,,,,,
,"Edubridge International School, Grant Road",info@edubridgeschool.org,,,,,
,"Eklavya School, Ahmedabad",info@eklavya.org,,,,,
,Euro School Navi Mumbai,principal@euroschoolnavimumbai.org,,,,,
,Fazlani L'Académie Globale,info@flag.org.in,,,,,
,Fazlani L'Académie Globale,it@flag.org.in,,,,,
,Fr. Agnel Multipurpose School & Jr. College,principal@agnelvm.net,,,,,
,"Fr. Agnel School, Vaishali Nagar, Navi Mumbai",srscvaishalinagar@gmail.com,,,,,
,Fravashi Academy,fa@fravashiacademy.com,,,,,
,Gateway International School,gateway@vsnl.com,,,,,
,Gayatri Vidya Parishad School of Engineering,principal@gvpcoe.ac.in,,,,,
,"GES English Medium School, Pune",geshead@gespune.org,,,,,
,GICL International,contactus@gicl.org,,,,,
,Global International School,gis.edu.campus@gmail.com,,,,,
,Gokuldham High School & Jr. College,principal@gokuldham.org,,,,,
,"Goldcrest High, Vashi",principal@goldcresthigh.org,,,,,
,Good Shepherd International School,principal@good-shepherd.org,,,,,
,Gurukul The School,principal@gurukulschool.org,,,,,
,Hansraj Morarji Public School,hansrajmorarji@rediffmail.com,,,,,
,Hansraj Morarji Public School,hrmphighschool@gmail.com,,,,,
,Hansraj Morarji Public School,hrmhindi@gmail.com,,,,,
,"Hansraj Public School, Panchkula",principal@hansrajpublicschool.com,,,,,
,Happy Home & School for the Blind,happyhomeschool@yahoo.co.in,,,,,
,"Harmony International School, Pune",harmonyschoolpune@gmail.com,,,,,
,Hiranandani Foundation School,secondary@hiranandanischools.edu.in,,,,,
,"Holy Cross Convent High School, Aurangabad",holyconvent.principal@gmail.com,,,,,
,Holy Family High School & Jr. College,holyfamilyandheri@gmail.com,,,,,
,"Horizon Academy, Latur",horizonacademylatur@gmail.com,,,,,
,"Horizon Academy, Latur",principal@horizonacademylatur.com,,,,,
,Hume McHenry Memorial High School,info@hmhs.in,,,,,
,Hume McHenry Memorial High School,contactus@hmhs.in,,,,,
,HVB Global Academy,hvbglobalacademy@gmail.com,,,,,
,"IES New English School, Bandra",principalnesb@ies.edu.in,,,,,
,Indo Scots Global School,indoscotsglobalschool@gmail.com,,,,,
,J M Rathi English School,principal@jmrathischool.com,,,,,
,Jamnabai Narsee International School,jinternationalschool@jamnabai.in,,,,,
,Jamnabai Narsee School,principal@jamnabai.in,,,,,
,JB Vachha High School,jbvachhasschool@gmail.com,,,,,
,JB Vachha High School,principal@jbvachha.com,,,,,
,"Jain Public School, Jodhpur",info@jainpublicschool.org,,,,,
,Jayshree Periwal International School,jpis@jayshreeperiwal.com,,,,,
,"JBCN International School, Borivali",jbcn.education.borivali@gmail.com,,,,,
,"JBCN International School, Borivali",borivali.info@jbcnschool.edu.in,,,,,
,"JBCN International School, Chembur",jbcnschool.chembur@jbcnschool.edu.in,,,,,
,"JBCN International School, Oshiwara",jbcnschool.oshiwara@jbcnschool.edu.in,,,,,
,"JBCN International School, Parel",parel@jbcnschool.edu.in,,,,,
,Jeevan Gyan English Medium School,sujit.academy@rediffmail.com,,,,,
,"Jeevan Jyoti School, Indore",principal@jeevanjyoti.org,,,,,
,Jindal Vidya Mandir,principal@jindalvm.edu.in,,,,,
,"JJ Academy, Mulund",info@jjacademy.org,,,,,
,"Jnana Prabodhini Navnagar Vidyalaya, Pune",vp@jnanaprabodhini.org,,,,,
,"Jnanabharti Vidyalaya, Pune",principal@jnanabhartividyalaya.edu.in,,,,,
,"Junior College of Commerce, Pune",juniorcollege@punecommerce.com,,,,,
,K.C. Gandhi English Medium School,kcghighschool@gmail.com,,,,,
,"Kalyani School, Pune",principal@thekalyanischool.com,,,,,
,"Kalyani School, Pune",info@thekalyanischool.com,,,,,
,"Kamla Education Society, Mumbai",kamlaeducation@outlook.com,,,,,
,"Kangaroo Kids Education Ltd, Mumbai",pramod.kenghe@kkblr.edu.in,,,,,
,"Kangaroo Kids Education Ltd, Mumbai",abhinav@kangarookids.co.in,,,,,
,Kapol Vidyanidhi International School,kvisschool@gmail.com,,,,,
,Kapol Vidyanidhi International School,kvisschool@kvisschool.edu.in,,,,,
,Kapol Vidyanidhi International School,ceo@kapol.edu.in,,,,,
,Kapol Vidyanidhi International School,principal@kapol.edu.in,,,,,
,Karve Institute of Social Service,karveinstituteofsocialservice@rediffmail.com,,,,,
,"Kaveri College of Arts, Science & Commerce, Pune",admin@kavericollege.org,,,,,
,Kendriya Vidyalaya,kendriya@vidyalaya.edu.in,,,,,
,Kendriya Vidyalaya Sangathan,kvssangathan@rediffmail.com,,,,,
,"King George V High School, Mumbai",principal@kgvschool.com,,,,,
,"King's School, Mumbai",kingschoolmumbai@gmail.com,,,,,
,"King's School, Mumbai",principal@kingsschoolmumbai.com,,,,,
,"KJ Somaiya English School, Mumbai",somaiya@edu.in,,,,,
,Konark International School,principal@konark.edu.in,,,,,
,Konark International School,info@konark.edu.in,,,,,
,Lakshdham High School,principal@lakshdham.org,,,,,
,"Lancers Army School, Jodhpur",info@lancersarmyschool.com,,,,,
,"Laxmanrao Apte Jr. College, Pune",principal@laxmanraoaptejrcollege.edu.in,,,,,
,"Lexicon Global School, Pune",principal@lexiconglobalschool.com,,,,,
,Lilavatibai Podar Senior Secondary School,principal@podar.edu.in,,,,,
,"Litera Valley School, Patna",principal@literavalleyschool.com,,,,,
,"Lodha World School, Thane",principal@lws.edu.in,,,,,
,"Lok Puram Public School, Thane",principal@lokpuram.edu.in,,,,,
,Lokhandwala Foundation School,principal@lokhandwalafoundation.edu.in,,,,,
,Lokhandwala International School,principal@lokhandwalainternationalschool.edu.in,,,,,
,"Lokseva E School, Pune",principal@loksevaschool.org,,,,,
,"Lokseva e School, Pune",info@loksevaschool.org,,,,,
,Loyola High School,principal@loyolapune.com,,,,,
,"Maharani Gayatri Devi Girls' School, Jaipur",mgdschool@outlook.com,,,,,
,"Maharani Gayatri Devi Girls' School, Jaipur",mgdschool@mgd.com,,,,,
,"Maharashtra Academy of Engineering, Pune",info@mae.edu.in,,,,,
,"Maharashtra High School, Nashik",principal@maharashtrahighschool.edu.in,,,,,
,"Maharashtra Institute of Technology, Pune",mit.pune@edu.in,,,,,
,"Mahatma Gandhi International School, Ahmedabad",mgschool.ahd@mgis.com,,,,,
,"Mahatma Gandhi International School, Ahmedabad",mgschool.ahd@gmail.com,,,,,
,"Mahatma School of Academics & Sports, Navi Mumbai",mahatma.school@gmail.com,,,,,
,"Maharashtra Institute of Technology, Pune",mit.pune@edu.in,,,,,
,"Mahatma Gandhi International School, Ahmedabad",mgschool.ahd@mgis.com,,,,,
,"Mahatma Gandhi International School, Ahmedabad",mgschool.ahd@gmail.com,,,,,
,"Mahatma School of Academics & Sports, Navi Mumbai",mahatma.school@gmail.com,,,,,
,"Mahaveer International School, Kota",principal@mahaveerschoolkota.edu.in,,,,,
,"Mahaveer Public School, Jaipur",principal@mahaveerpublicschool.edu.in,,,,,
,Mahatma Gandhi Mission Institute of Management,principal@mgmsom.edu.in,,,,,
,Manav Mandir High School,manavmandir@gmail.com,,,,,
,Manav Rachna International School,admissions@manavrachna.edu.in,,,,,
,Manav Rachna International School,principal@mris.edu.in,,,,,
,Manav Rachna International School,info@mris.edu.in,,,,,
,Manik Public School,info@manikpublicschool.edu.in,,,,,
,"Mansukhbhai Kothari National School, Pune",principal@mkns.edu.in,,,,,
,Marathwada Mitra Mandal's College,info@mmmcollegepune.edu.in,,,,,
,Marathwada Mitra Mandal's College of Commerce,mmcollege@edu.in,,,,,
,Marathwada Mitra Mandal's Polytechnic College,mmcollegepune@gmail.com,,,,,
,Mata Jai Kaur Public School,info@matajaikaurpublicschool.edu.in,,,,,
,Mata Sahib Kaur Public School,info@mskpublicschool.edu.in,,,,,
,MDV International School,principal@mdvschool.edu.in,,,,,
,MES Junior College of Science,info@mesjuniorcollege.edu.in,,,,,
,"MES Junior College of Science, Pune",principal@mesjuniorcollegepune.edu.in,,,,,
,"MES Abasaheb Garware College, Pune",principal@abasahebcollege.edu.in,,,,,
,"MES Garware College of Commerce, Pune",info@garwarecollege.edu.in,,,,,
,MES Institute of Management Development & Research,info@mesimdcollege.edu.in,,,,,
,MET Rishikul Vidyalaya,info@met.edu.in,,,,,
,MIT World Peace University,principal@mitwpu.edu.in,,,,,
,"MIT Institute of Design, Pune",info@mitid.edu.in,,,,,
,"Modern High School, Pune",principal@modernhighschool.edu.in,,,,,
,Mount Carmel School,principal@mountcarmelschool.edu.in,,,,,
,"Mount Litera Zee School, Nagpur",principal@mlzs.edu.in,,,,,
,"Mount Litera Zee School, Nagpur",info@mlzschool.edu.in,,,,,
,"Mount Litera Zee School, Nagpur",admin@mlzschool.edu.in,,,,,
,"Mount Litera Zee School, Pune",principal@mountliterazeeschool.com,,,,,
,"Mount Litera Zee School, Pune",info@mountliterazeeschool.edu.in,,,,,
,"Mount Litera Zee School, Pune",mlzs.pune@edu.in,,,,,
,Mount Saint Patrick Academy,principal@mountsaintpatrick.edu.in,,,,,
,Mount Zion International School,principal@mountzion.edu.in,,,,,
,Nagarjuna Vidyaniketan School,principal@nagarjunavidyaniketan.edu.in,,,,,
,Nagarjuna Vidyaniketan School,info@nagarjunavidyaniketan.edu.in,,,,,
,Nagarjuna Vidyaniketan School,contact@nagarjunavidyaniketan.edu.in,,,,,
,"Nagindas Khandwala College, Mumbai",principal@nagindaskhandwala.edu.in,,,,,
,"Nahar International School, Mumbai",principal@naharinternationalschool.edu.in,,,,,
,Nalanda Academy,info@nalandaacademy.edu.in,,,,,
,"Nalanda International School, Pune",info@nalanda-international.com,,,,,
,"Nalanda Public School, Pune",info@nalandaedu.org,,,,,
,"Nalanda Public School, Pune",principal@nalandaedu.org,,,,,
,National Academy of Event Management,info@naemd.com,,,,,
,National Academy of Event Management & Development,info@naemdpune.edu.in,,,,,
,National Academy of Event Management & Development,info@naemdschool.org,,,,,
,"National Centre for the Performing Arts, Mumbai",info@performingarts.org,,,,,
,"National Centre for the Performing Arts, Mumbai",contact@performingarts.edu.in,,,,,
,"National Centre for the Performing Arts, Mumbai",performingarts@rediffmail.com,,,,,
,"National Centre for the Performing Arts, Mumbai",events@performingarts.edu.in,,,,,
,"National English School, Bandra",principalnesb@nes.edu.in,,,,,
,"National English School, Pune",principal@nationalenglishschool.edu.in,,,,,
,National Institute of Event Management,niem.mumbai@edu.in,,,,,
,National Institute of Event Management,info@niemschool.org,,,,,
,"National Institute of Event Management, Pune",info@niempune.edu.in,,,,,
,"National Institute of Event Management, Mumbai",info@niem.edu.in,,,,,
,"New Era High School, Panchgani",admissions@newera.edu.in,,,,,
,"New Era High School, Panchgani",admissions@newerahighschool.edu.in,,,,,
,"New Era High School, Panchgani",info@newerahighschool.edu.in,,,,,
,"New Era School, Bandra",info@newerabandra.edu.in,,,,,
,"New Era School, Bandra",principal@newerabandra.edu.in,,,,,
,"New Era School, Malad",principal@neweraschool.edu.in,,,,,
,"New Era School, Panchgani",info@newerapanchgani.edu.in,,,,,
,"New Horizon Public School, Airoli",info@newhorizon.edu.in,,,,,
,New Horizon Scholars School & Neo Kids,principal@nhpsairoli.com,,,,,
,"New India School, Pune",newindiapune@gmail.com,,,,,
,"New India School, Pune",principal@newindiaschool.edu.in,,,,,
,"NITTE International School, Bengaluru",nitte.internationalschool@gmail.com,,,,,
,"NITTE International School, Bengaluru",info@nitte.edu.in,,,,,
,North Point High School & Jr College,principal@northpointjrcollege.edu.in,,,,,
,Oberoi International School,principal@oberoiinternationalschool.edu.in,,,,,
,"Oasis School, Pune",oasis.pune@gmail.com,,,,,
,"Oasis School, Pune",principal@oasis.edu.in,,,,,
,"OES International School, Vashi",principal@oesvashi.org,,,,,
,Omkar International School,info@omkarinternationalschool.edu.in,,,,,
,Omkar International School,principal@omkarinternationalschool.edu.in,,,,,
,"Orchids International School, Mumbai",info@orchidsinternational.com,,,,,
,"Orchids The International School, Pune",principal@orchids.edu.in,,,,,
,"Orchids The International School, Pune",info@orchids.edu.in,,,,,
,"Orchids The International School, Mumbai",principal@orchidsmumbai.edu.in,,,,,
,"Orchids The International School, Mumbai",info@orchidsmumbai.edu.in,,,,,
,"Orchids The International School, Mumbai",contact@orchidsmumbai.edu.in,,,,,
,"Orchids The International School, Mumbai",admissions@orchidsmumbai.edu.in,,,,,
,"Orion School, Pune",info@orionschool.edu.in,,,,,
,"Orion School, Pune",principal@orionschool.edu.in,,,,,
,Our Lady of Salvation High School,salvationhigh@gmail.com,,,,,
,Our Lady of the Rosary High School,principal@ourladyrosary.edu.in,,,,,
,"Oxford High School, Pune",oxfordschoolpune@gmail.com,,,,,
,"Oxford High School, Pune",info@oxfordschool.edu.in,,,,,
,"Oxford Public School, Mumbai",principal@oxfordpublicschool.edu.in,,,,,
,"Oxford Public School, Pune",info@oxfordpublicschool.edu.in,,,,,
,"Oxford Public School, Pune",principal@oxfordpune.edu.in,,,,,
,PACE Junior Science College,info@pacejuniorcollege.edu.in,,,,,
,PACE Junior Science College,admissions@pacejuniorcollege.edu.in,,,,,
,Pandit Deendayal Petroleum University,info@pdpu.ac.in,,,,,
,Pandit Deendayal Petroleum University,admission@pdpu.ac.in,,,,,
,Panipat Institute of Engineering & Technology,principal@panipatinstitute.edu.in,,,,,
,"Pawan English School, Pune",principal@pawanenglishschool.edu.in,,,,,
,Pawan Public School,pawan.publicschool@gmail.com,,,,,
,Pawan Public School,info@pawanpublicschool.edu.in,,,,,
,Pawar Public School,principal@pawarpublicschool.edu.in,,,,,
,"PCMT College, Pune",principal@pcmtcollege.edu.in,,,,,
,"PCMC School, Pune",principal@pcmcpune.edu.in,,,,,
,"Pearl Academy, Pune",info@pearlacademy.edu.in,,,,,
,"Pearl Academy, Mumbai",info@pearlmumbai.edu.in,,,,,
,"PICT Model School, Pune",info@pict.edu.in,,,,,
,"Podar International School, Mumbai",principal@podarinternationalschool.edu.in,,,,,
,"Poona College of Arts, Science & Commerce",principal@poonacollege.edu.in,,,,,
,"Poona College of Engineering, Pune",info@poonacollege.edu.in,,,,,
,"Poona College of Engineering, Pune",principal@poonacollege.edu.in,,,,,
,Poona Institute of Management Science & Entrepreneurship,principal@poona.edu.in,,,,,
,"Poona School of Architecture, Pune",info@poonaschoolofarchitecture.edu.in,,,,,
,Poonawalla Foundation English Medium School,principal@poonawalla.edu.in,,,,,
,"Pragati School, Pune",info@pragatischool.edu.in,,,,,
,"Pragati School, Pune",principal@pragatischool.edu.in,,,,,
,"Pragati Vidyalaya, Pune",info@pragatividyalaya.edu.in,,,,,
,Prarambh International School,info@prarambhschool.edu.in,,,,,
,"Presidency School, Bangalore",info@presidencyschool.edu.in,,,,,
,"Presidency School, Bangalore",contact@presidencyschool.edu.in,,,,,
,"Presidency School, Bangalore",principal@presidencyschool.edu.in,,,,,
,"Presidency School, Bangalore",admissions@presidencyschool.edu.in,,,,,
,"Presidency School, Bangalore",principal@presidencyschool.edu.in,,,,,
,"Princely School, Pune",princelyschoolpune@gmail.com,,,,,
,"Princely School, Pune",principal@princelyschool.edu.in,,,,,
,"Pune Institute of Computer Technology, Pune",principal@pict.edu.in,,,,,
,"Pune Institute of Computer Technology, Pune",info@pict.edu.in,,,,,
,"Pune International School, Pune",principal@puneinternationalschool.edu.in,,,,,
,"Pune International School, Pune",info@puneinternationalschool.edu.in,,,,,
,Pune Vidhyarthi Griha,info@pvg.edu.in,,,,,
,Pune Vidyarthi Griha's College of Science & Technology,principal@pvg.edu.in,,,,,
,Pune Vidyarthi Griha's College of Science & Technology,info@pvgcollege.edu.in,,,,,
,Rajiv Gandhi International School,principal@rgischool.edu.in,,,,,
,Rajiv Gandhi Institute of Technology,info@rgit.edu.in,,,,,
,Rajiv Gandhi Institute of Technology,principal@rgit.edu.in,,,,,
,"Rajas International School, Pune",principal@rajasschool.edu.in,,,,,
,Rajendra Academy,info@rajendraacademy.edu.in,,,,,
,Rajendra College of Education,principal@rajendracollege.edu.in,,,,,
,"Ralli International School, Ghaziabad",principal@rallischool.edu.in,,,,,
,"Ramakrishna School, Pune",principal@ramakrishnaschool.edu.in,,,,,
,Ramrao Adik Institute of Technology,info@rait.edu.in,,,,,
,Ramrao Adik Institute of Technology,principal@rait.edu.in,,,,,
,Rani Laxmibai Mulinchi Sainiki Shala,info@rlmss.org,,,,,
,Rani Laxmibai Mulinchi Sainiki Shala,principal@rlmss.org,,,,,
,Rangubai Junnare English Medium School,info@rjenglishschool.edu.in,,,,,
,Rangubai Junnare English Medium School,principal@rjenglishschool.edu.in,,,,,
,Rashtriya Military School,principal@rashtriyamilitaryschool.edu.in,,,,,
,Rashtriya Vidyalaya,principal@rashtriyavidyalaya.edu.in,,,,,
,Reliance Foundation School,principal@reliancefoundation.edu.in,,,,,
,"Reliance School, Pune",info@relianceschool.edu.in,,,,,
,"Reliance School, Pune",principal@relianceschool.edu.in,,,,,
,"Rishikul Vidyapeeth, Sonepat",principal@rishikulvidyapeeth.edu.in,,,,,
,"RJL English School, Mumbai",info@rjlschool.edu.in,,,,,
,Rosary International School,info@rosaryinternationalschool.edu.in,,,,,
,"Rosary School, Pune",principal@rosaryschool.edu.in,,,,,
,"Royal High School, Pune",info@royalschool.edu.in,,,,,
,"Royal International School, Pune",info@royalinternationalschool.edu.in,,,,,
,Rustomjee Cambridge International School,info@rustomjeeschool.edu.in,,,,,
,Rustomjee Cambridge International School,principal@rustomjeeschool.edu.in,,,,,
,Rustomjee International School,info@rustomjeeschool.edu.in,,,,,
,Ryan International School,info@ryan.edu.in,,,,,
,Ryan International School,principal@ryan.edu.in,,,,,
,"S K Somaiya College of Arts, Science & Commerce",principal@sksomaiya.edu.in,,,,,
,S N Kansagra School,info@snkansagraschool.edu.in,,,,,
,S P Jain Institute of Management,principal@spjimr.edu.in,,,,,
,S R Agarwal International School,info@srainternationalschool.edu.in,,,,,
,S R V High School,principal@srvsangh.edu.in,,,,,
,S S Jain Subodh Public School,info@subodhschool.edu.in,,,,,
,Sadhana Education Society,info@sadhanasociety.edu.in,,,,,
,Sadhana Vidyalaya,principal@sadhanavidyalaya.edu.in,,,,,
,Sagar Public School,info@sagarpublicschool.edu.in,,,,,
,Sainik School,sainikschool@gmail.com,,,,,
,"Sainik School, Kapurthala",principal@sainikschool.edu.in,,,,,
,"Sainik School, Rewa",info@sainikschoolrewa.edu.in,,,,,
,"Saint Arnold High School, Pune",principal@saintarnoldschool.edu.in,,,,,
,"Saint Arnold School, Pune",info@saintarnoldschool.edu.in,,,,,
,"Saint Francis High School, Mumbai",principal@stfrancisschool.edu.in,,,,,
,"Saint Francis High School, Pune",info@saintfrancisschool.edu.in,,,,,
,Saint Francis Institute of Management & Research,info@sfimr.edu.in,,,,,
,"Saint Joseph Convent School, Mumbai",principal@sjcmumbai.edu.in,,,,,
,"Saint Lawrence School, Mumbai",info@stlawrenceschool.edu.in,,,,,
,"Saint Lawrence School, Mumbai",principal@stlawrenceschool.edu.in,,,,,
,"Saint Mary High School, Mumbai",principal@stmaryschool.edu.in,,,,,
,"Saint Mary High School, Pune",info@stmaryschool.edu.in,,,,,
,Saint Mary Junior College,info@stmaryjuniorcollege.edu.in,,,,,
,"Saint Michael High School, Pune",info@saintmichael.edu.in,,,,,
,"Saint Mira's College for Girls, Pune",info@saintmirascollege.edu.in,,,,,
,"Saint Mira's School, Pune",principal@saintmiraschool.edu.in,,,,,
,Saint Paul's High School,info@stpauls.edu.in,,,,,
,Saint Paul's High School,principal@stpauls.edu.in,,,,,
,Saint Theresa High School,info@sttheresahighschool.edu.in,,,,,
,Saint Theresa High School,principal@sttheresahighschool.edu.in,,,,,
,Saint Thomas High School,principal@stthomasschool.edu.in,,,,,
,Saint Xavier's College,info@stxaviers.edu.in,,,,,
,Saint Xavier's College,principal@stxaviers.edu.in,,,,,
,"Saka International School, Ahmedabad",info@sakainternationalschool.edu.in,,,,,
,"Saka International School, Ahmedabad",principal@sakainternationalschool.edu.in,,,,,
,Salem English School,info@salemenglishschool.edu.in,,,,,
